time,open,high,low,close,Bar Direction,Streak,EMA
2000-01-03T15:30:00+01:00,2239.25,2240.75,2197,2211.5,-1,-1,
2000-01-04T15:30:00+01:00,2193.75,2198.5,2154.25,2156.25,-1,-2,
2000-01-05T15:30:00+01:00,2153.5,2172,2129.75,2157.75,1,1,
2000-01-06T15:30:00+01:00,2150.5,2171,2146,2149,-1,-1,
2000-01-07T15:30:00+01:00,2157,2206.25,2156.5,2204.5,1,1,
2000-01-10T15:30:00+01:00,2218.5,2224.25,2199,2219,1,2,
2000-01-11T15:30:00+01:00,2211,2216.25,2191.75,2198.25,-1,-1,
2000-01-12T15:30:00+01:00,2199.25,2201.25,2183.5,2186.75,-1,-2,
2000-01-13T15:30:00+01:00,2197.5,2211.5,2188,2203.75,1,1,
2000-01-14T15:30:00+01:00,2223.25,2229.75,2214.75,2223.25,0,0,
2000-01-17T15:30:00+01:00,2224.5,2224.5,2221.75,2222,-1,-1,
2000-01-18T15:30:00+01:00,2211.25,2221.25,2206.75,2214,1,1,
2000-01-19T15:30:00+01:00,2206.25,2218.75,2195,2217.25,1,2,
2000-01-20T15:30:00+01:00,2222,2223,2192.75,2201,-1,-1,
2000-01-21T15:30:00+01:00,2206,2208,2194,2199,-1,-2,
2000-01-24T15:30:00+01:00,2211.5,2213.25,2148,2157.5,-1,-3,
2000-01-25T15:30:00+01:00,2161.5,2169.5,2142.25,2163.75,1,1,
2000-01-26T15:30:00+01:00,2162.75,2167,2153,2161,-1,-1,
2000-01-27T15:30:00+01:00,2169.25,2173.25,2132.75,2155.25,-1,-2,
2000-01-28T15:30:00+01:00,2142,2151.5,2106,2112,-1,-3,2185.6375
2000-01-31T15:30:00+01:00,2110.75,2147.75,2101.75,2145.5,1,1,2181.814880952381
2000-02-01T15:30:00+01:00,2143.75,2166.5,2136,2161.75,1,2,2179.903939909297
2000-02-02T15:30:00+01:00,2161,2174.25,2154.75,2159.75,-1,-1,2177.9845170607928
2000-02-03T15:30:00+01:00,2169,2183,2150,2180.75,1,1,2178.2478963883364
2000-02-04T15:30:00+01:00,2184.25,2189.25,2171.25,2176,-1,-1,2178.0338110180187
2000-02-07T15:30:00+01:00,2175.75,2178,2163.75,2171.75,-1,-2,2177.4353528258266
2000-02-08T15:30:00+01:00,2186.25,2194.25,2184.75,2190.5,1,1,2178.6796049376526
2000-02-09T15:30:00+01:00,2192,2193.5,2161.75,2163.25,-1,-1,2177.2101187531143
2000-02-10T15:30:00+01:00,2165.75,2174,2157,2163.25,-1,-2,2175.88058363377
2000-02-11T15:30:00+01:00,2166.5,2166.75,2129,2141,-1,-3,2172.5586232876967
2000-02-14T15:30:00+01:00,2145.5,2148.25,2131.5,2143,-1,-4,2169.7435163079163
2000-02-15T15:30:00+01:00,2140.75,2159.5,2125.75,2154,1,1,2168.2441338024005
2000-02-16T15:30:00+01:00,2149,2155.25,2135,2137.5,-1,-1,2165.316121059315
2000-02-17T15:30:00+01:00,2147.25,2149.75,2129,2130.25,-1,-2,2161.9764904822373
2000-02-18T15:30:00+01:00,2132.5,2134.5,2093.75,2098.75,-1,-3,2155.9549199601192
2000-02-21T15:30:00+01:00,2101.25,2102,2099.75,2101.25,0,0,2150.744927582965
2000-02-22T15:30:00+01:00,2098.5,2108.5,2081.25,2093.5,-1,-1,2145.2930297179205
2000-02-23T15:30:00+01:00,2101.5,2119,2089.25,2108.75,1,1,2141.8127411733567
2000-02-24T15:30:00+01:00,2110.25,2113.75,2075.75,2100.25,-1,-1,2137.8543848711324
2000-02-25T15:30:00+01:00,2099.25,2111.25,2075.75,2082.5,-1,-2,2132.582538692929
2000-02-28T15:30:00+01:00,2082.25,2110.75,2072.25,2093.25,1,1,2128.836582626936
2000-02-29T15:30:00+01:00,2100.75,2118.75,2099.75,2116.75,1,2,2127.6854795196086
2000-03-01T15:30:00+01:00,2118.75,2133.5,2115.75,2129.25,1,3,2127.8344814701222
2000-03-02T15:30:00+01:00,2127,2135.25,2117.25,2129.75,1,4,2128.016911806301
2000-03-03T15:30:00+01:00,2145.5,2159.25,2140.25,2155.75,1,5,2130.658158300939
2000-03-06T15:30:00+01:00,2152.75,2155.5,2131,2139.75,-1,-1,2131.524047986564
2000-03-07T15:30:00+01:00,2144,2144.75,2095.75,2096.5,-1,-2,2128.188424368796
2000-03-08T15:30:00+01:00,2104.75,2120.75,2093.25,2110.5,1,1,2126.5038125241485
2000-03-09T15:30:00+01:00,2111.75,2149.75,2102.25,2148.75,1,2,2128.6224970456583
2000-03-10T15:30:00+01:00,2145.25,2160.25,2139,2143.75,-1,-1,2130.0632116127385
2000-03-13T15:30:00+01:00,2110,2144.5,2109.5,2128.5,1,1,2129.9143343162873
2000-03-14T15:30:00+01:00,2136.25,2141,2103.5,2107,-1,-1,2127.732016762355
2000-03-15T15:30:00+01:00,2111.75,2144.25,2101.25,2139.25,1,1,2128.8289675468927
2000-03-16T15:30:00+01:00,2153.25,2208.25,2149.75,2206,1,2,2136.178589685284
2000-03-17T15:30:00+01:00,2198.75,2224.5,2197.25,2215.25,1,3,2143.7092001914475
2000-03-20T15:30:00+01:00,2212.5,2217.25,2193.5,2204.75,-1,-1,2149.522609697024
2000-03-21T15:30:00+01:00,2200.75,2241,2190,2234.75,1,1,2157.639504011593
2000-03-22T15:30:00+01:00,2237.25,2252,2232.5,2244.75,1,2,2165.9357417247747
2000-03-23T15:30:00+01:00,2239,2279.75,2236.75,2270.75,1,3,2175.918052036701
2000-03-24T15:30:00+01:00,2269.75,2301,2262,2282.25,1,4,2186.044904223682
2000-03-27T16:30:00+02:00,2277.25,2281.25,2262.75,2265.25,-1,-1,2193.5882466785692
2000-03-28T16:30:00+02:00,2260.5,2274.5,2249.75,2256,-1,-2,2199.532223185372
2000-03-29T16:30:00+02:00,2258.25,2268,2241.75,2256.75,-1,-3,2204.9815352629557
2000-03-30T16:30:00+02:00,2243,2261.75,2220.25,2231.25,-1,-4,2207.483293809341
2000-03-31T16:30:00+02:00,2240.25,2265.5,2227.75,2244.25,1,1,2210.984884875118
2000-04-03T15:30:00+02:00,2239,2255.5,2228.75,2254.75,1,2,2215.152991077488
2000-04-04T15:30:00+02:00,2257.75,2271.5,2157.75,2244.75,-1,-1,2217.971753832013
2000-04-05T15:30:00+02:00,2224.75,2248.5,2219.25,2230.75,1,1,2219.1887296575355
2000-04-06T15:30:00+02:00,2240.25,2257.5,2230.25,2243.75,1,2,2221.5278982615796
2000-04-07T15:30:00+02:00,2254.75,2261.75,2244,2255.75,1,3,2224.787146046191
2000-04-10T15:30:00+02:00,2258.25,2270.75,2244.75,2247.75,-1,-1,2226.974084517982
2000-04-11T15:30:00+02:00,2238,2256,2224.25,2244.5,1,1,2228.6432193257933
2000-04-12T15:30:00+02:00,2244.75,2249.75,2201.75,2202,-1,-1,2226.105769866194
2000-04-13T15:30:00+02:00,2213.5,2219.25,2178,2182.75,-1,-2,2221.976648926556
2000-04-14T15:30:00+02:00,2169.75,2170.5,2073.75,2094,-1,-3,2209.7883966478366
2000-04-17T15:30:00+02:00,2093,2141.25,2086.25,2140.25,1,1,2203.1656922051857
2000-04-18T15:30:00+02:00,2140.5,2182.25,2135,2179.25,1,2,2200.888007233263
2000-04-19T15:30:00+02:00,2180,2186.75,2162,2167,-1,-1,2197.6605779729525
2000-04-20T15:30:00+02:00,2168.25,2173.75,2158.25,2173.75,1,1,2195.3833800707666
2000-04-24T15:30:00+02:00,2154.25,2167.75,2143.75,2163.75,1,2,2192.370677206884
2000-04-25T15:30:00+02:00,2177.25,2216.5,2177.25,2215.75,1,3,2194.597279377657
2000-04-26T15:30:00+02:00,2216.5,2222,2193.75,2200.75,-1,-1,2195.183252770261
2000-04-27T15:30:00+02:00,2167.25,2207.5,2167.25,2194,1,1,2195.070562030236
2000-04-28T15:30:00+02:00,2211.5,2212.25,2184.75,2187.25,-1,-1,2194.325746598785
2000-05-01T15:30:00+02:00,2193.75,2219.5,2192.75,2203.5,1,1,2195.199485017948
2000-05-02T15:30:00+02:00,2193.5,2204.75,2175.75,2178.25,-1,-1,2193.585248349572
